Age,Income,Purchased
39.96714153011233,78033.98598777695,0
33.61735698828815,261173.92451299206,1
41.47688538100692,35891.56744500856,1
50.23029856408026,67563.45927755753,0
32.658466252766644,137995.9097210449,0
32.6586304305082,97284.19212076979,1
50.79212815507391,90507.14470928152,0
42.67434729152909,91994.66579464672,1
30.305256140650478,51472.176171975785,0
40.42560043585965,47826.289176975595,0
30.365823071875376,112893.9101645492,0
30.34270246429743,113261.7621514491,0
37.41962271566034,129351.48280068481,1
15.86719755342202,152279.8184403497,0
17.750821674869673,66800.65842913608,0
29.377124707590273,67711.50609315005,1
24.87168879665576,111966.03826759479,0
38.142473325952736,86792.31865941313,0
25.91975924478789,88992.83729979975,1
20.876962986647086,111175.6150211516,1
49.65648768921554,140732.85782881506,0
32.74223699513465,55003.72622331806,1
35.67528204687924,51930.24286566752,1
20.752518137865433,33255.358275006474,0
29.556172754748175,71971.91603958368,0
36.10922589709866,27582.413761923235,1
23.490064225776973,60278.83736574396,1
38.75698018345672,67596.4639612489,0
28.99361310081195,47182.320588678536,1
32.083062502067236,75365.13845886309,1
28.98293387770603,35301.0947835055,0
53.522781845089376,33804.02264051157,0
34.86502775262066,115313.761165582,0
24.422890710440996,50532.42186769052,1
43.225449121031886,37778.290407884415,0
22.791563500289776,64292.2129999095,0
37.08863595004755,107145.31455399547,1
15.403298761202244,44514.78041293774,1
21.718139511015693,77822.62962861522,0
36.96861235869123,31034.28239131311,1
42.38466579995411,35360.999543846294,0
36.7136828118997,67666.3673407708,1
33.843517176117594,71371.15475868403,0
31.988963044107113,77538.01709264207,0
20.214780096325725,93549.27809992667,1
27.801557916052914,216188.337834436,0
30.393612290402125,66408.5171490473,0
45.57122226218915,48600.85476234045,1
38.43618289568462,110528.39885132932,1
17.36959844637266,43657.33241304167,1
45.0,300000.0,0
31.149177195836835,34325.84969260729,0
28.230779996940413,32312.758145191216,0
41.11676288840868,195792.22591960788,0
45.30999522495951,118139.09792207739,0
44.31280119116199,86463.90829849584,1
26.607824767773614,58848.33586705411,0
